  24  54  55
  24  54  56
  63  24  25
  63  24  26
  24  63  64
  24  63  65
  66  24  25
  66  24  26
  24  66  67
  24  66  68
  81  24  25
  81  24  26
  24  81  82
  24  81  83
 108  24  25
 108  24  26
  24 108 109
  24 108 110
 111  24  25
 111  24  26
  24 111 112
  24 111 113
 117  24  25
 117  24  26
  24 117 118
  24 117 119
 141  24  25
 141  24  26
  24 141 142
  24 141 143
 159  24  25
 159  24  26
  24 159 160
  24 159 161
 189  24  25
 189  24  26
  24 189 190
  24 189 191
 192  24  25
 192  24  26
  24 192 193
  24 192 194
 207  24  25
