 238  16  17
 238  16  18
  16 238 239
  16 238 240
 244  16  17
 244  16  18
  16 244 245
  16 244 246
 268  16  17
 268  16  18
  16 268 269
 277  16  17
 277  16  18
  16 277 278
  16 277 279
 280  16  17
 280  16  18
  16 280 281
  16 280 282
 286  16  17
 286  16  18
  16 286 288
 289  16  17
 289  16  18
  16 289 290
  16 289 291
 292  16  17
 292  16  18
  16 292 293
  16 292 294
 304  16  17
 304  16  18
  16 304 305
  16 304 306
 316  16  17
 316  16  18
  16 316 317
 331  16  17
 331  16  18
  16 331 332
  16 331 333
 334  16  17
 334  16  18
  16 334 335
  16 334 336
 340  16  17
 340  16  18
  16 340 341
  16 340 342
 358  16  17
 358  16  18
  16 358 359
  16 358 360
  22  19  20
  22  19  21
  19  22  23
  19  22  24
  25  19  20
  25  19  21
  19  25  26
  19  25  27
  28  19  20
  28  19  21
  19  28  29
  19  28  30
  31  19  20
  31  19  21
  19  31  32
  19  31  33
  43  19  20
  43  19  21
  19  43  44
  49  19  20
  49  19  21
  79  19  20
  79  19  21
  19  79  80
  19  79  81
  82  19  20
  82  19  21
  19  82  83
  19  82  84
  91  19  20
  91  19  21
  19  91  92
  19  91  93
 124  19  20
 124  19  21
  19 124 125
 133  19  20
 133  19  21
  19 133 134
  19 133 135
 136  19  20
 136  19  21
  19 136 137
  19 136 138
 139  19  20
 139  19  21
  19 139 140
  19 139 141
 145  19  20
 145  19  21
  19 145 146
  19 145 147
 160  19  20
 160  19  21
  19 160 161
  19 160 162
 166  19  20
 166  19  21
  19 166 167
  19 166 168
 169  19  20
 169  19  21
  19 169 170
  19 169 171
 172  19  20
 172  19  21
  19 172 173
  19 172 174
 175  19  20
 175  19  21
  19 175 176
  19 175 177
 178  19  20
 178  19  21
  19 178 179
  19 178 180
 187  19  20
 187  19  21
  19 187 188
  19 187 189
 190  19  20
 190  19  21
  19 190 191
  19 190 192
 211  19  20
 211  19  21
  19 211 212
  19 211 213
 214  19  20
 214  19  21
  19 214 215
  19 214 216
 226  19  20
 226  19  21
  19 226 227
 238  19  20
 238  19  21
  19 238 239
  19 238 240
 244  19  20
 244  19  21
  19 244 245
  19 244 246
 268  19  20
 268  19  21
  19 268 269
 277  19  20
 277  19  21
  19 277 278
  19 277 279
 280  19  20
 280  19  21
  19 280 281
  19 280 282
 286  19  20
 286  19  21
  19 286 288
 289  19  20
 289  19  21
  19 289 290
  19 289 291
 292  19  20
 292  19  21
  19 292 293
  19 292 294
 304  19  20
 304  19  21
  19 304 305
  19 304 306
 316  19  20
 316  19  21
  19 316 317
 331  19  20
 331  19  21
  19 331 332
  19 331 333
 334  19  20
 334  19  21
  19 334 335
  19 334 336
 340  19  20
 340  19  21
  19 340 341
  19 340 342
 358  19  20
 358  19  21
  19 358 359
  19 358 360
  25  22  23
  25  22  24
  22  25  26
  22  25  27
  28  22  23
  28  22  24
  22  28  29
  22  28  30
  31  22  23
  31  22  24
  22  31  32
  22  31  33
  43  22  23
  43  22  24
  22  43  44
  49  22  23
  49  22  24
  79  22  23
  79  22  24
  22  79  80
  22  79  81
  82  22  23
  82  22  24
  22  82  83
  22  82  84
  91  22  23
  91  22  24
  22  91  92
  22  91  93
 124  22  23
 124  22  24
  22 124 125
 133  22  23
 133  22  24
  22 133 134
  22 133 135
 136  22  23
 136  22  24
  22 136 137
  22 136 138
 139  22  23
 139  22  24
