  26  41  43
  44  26  27
  44  26  28
  26  44  45
  26  44  46
  47  26  27
  47  26  28
  26  47  48
  26  47  49
  56  26  27
  56  26  28
  26  56  57
  26  56  58
  80  26  27
  80  26  28
  26  80  81
  26  80  82
  83  26  27
  83  26  28
  26  83  84
  26  83  85
 101  26  27
 101  26  28
  26 101 102
  26 101 103
 104  26  27
 104  26  28
  26 104 105
  26 104 106
 110  26  27
 110  26  28
  26 110 111
  26 110 112
 140  26  27
 140  26  28
  26 140 141
  26 140 142
 149  26  27
 149  26  28
  26 149 150
  26 149 151
 152  26  27
 152  26  28
  26 152 153
  26 152 154
 155  26  27
 155  26  28
  26 155 156
  26 155 157
 173  26  27
 173  26  28
  26 173 174
  26 173 175
 182  26  27
 182  26  28
  26 182 183
  26 182 184
 191  26  27
 191  26  28
  26 191 192
  26 191 193
 203  26  27
 203  26  28
  26 203 204
  26 203 205
 206  26  27
 206  26  28
  26 206 207
  26 206 208
 209  26  27
 209  26  28
  26 209 210
  26 209 211
 239  26  27
 239  26  28
  26 239 240
  26 239 241
 266  26  27
 266  26  28
  26 266 267
  26 266 268
 278  26  27
 278  26  28
  26 278 279
  26 278 280
 284  26  27
 284  26  28
  26 284 285
  26 284 286
 305  26  27
 305  26  28
  26 305 306
  26 305 307
 311  26  27
 311  26  28
  26 311 312
  26 311 313
 314  26  27
 314  26  28
  26 314 315
  26 314 316
 320  26  27
 320  26  28
  26 320 321
  26 320 322
 323  26  27
 323  26  28
  26 323 324
  26 323 325
 326  26  27
 326  26  28
  26 326 327
  26 326 328
 329  26  27
 329  26  28
  26 329 330
  26 329 331
 338  26  27
 338  26  28
  26 338 339
  26 338 340
 341  26  27
 341  26  28
  26 341 342
  26 341 343
 350  26  27
 350  26  28
  26 350 351
  26 350 352
 353  26  27
 353  26  28
  26 353 354
  26 353 355
 356  26  27
 356  26  28
  26 356 357
  26 356 358
 359  26  27
 359  26  28
  26 359 360
  26 359 361
 365  26  27
 365  26  28
  26 365 366
  26 365 367
  32  29  30
  32  29  31
  29  32  33
  29  32  34
  38  29  30
  38  29  31
  29  38  39
  29  38  40
  41  29  30
  41  29  31
  29  41  42
  29  41  43
  44  29  30
  44  29  31
  29  44  45
  29  44  46
  47  29  30
  47  29  31
  29  47  48
  29  47  49
  56  29  30
  56  29  31
  29  56  57
  29  56  58
  80  29  30
  80  29  31
  29  80  81
  29  80  82
  83  29  30
  83  29  31
  29  83  84
  29  83  85
 101  29  30
 101  29  31
  29 101 102
  29 101 103
 104  29  30
 104  29  31
  29 104 105
  29 104 106
 110  29  30
 110  29  31
  29 110 111
  29 110 112
 140  29  30
 140  29  31
  29 140 141
  29 140 142
 149  29  30
 149  29  31
  29 149 150
  29 149 151
 152  29  30
 152  29  31
  29 152 153
  29 152 154
 155  29  30
 155  29  31
  29 155 156
  29 155 157
 173  29  30
 173  29  31
  29 173 174
  29 173 175
 182  29  30
 182  29  31
  29 182 183
  29 182 184
 191  29  30
 191  29  31
  29 191 192
  29 191 193
 203  29  30
 203  29  31
  29 203 204
  29 203 205
 206  29  30
 206  29  31
  29 206 207
  29 206 208
 209  29  30
 209  29  31
  29 209 210
  29 209 211
 239  29  30
 239  29  31
  29 239 240
  29 239 241
 266  29  30
 266  29  31
  29 266 267
  29 266 268
 278  29  30
 278  29  31
  29 278 279
  29 278 280
 284  29  30
 284  29  31
  29 284 285
  29 284 286
 305  29  30
 305  29  31
  29 305 306
  29 305 307
 311  29  30
 311  29  31
  29 311 312
  29 311 313
 314  29  30
 314  29  31
  29 314 315
  29 314 316
 320  29  30
 320  29  31
  29 320 321
  29 320 322
 323  29  30
 323  29  31
  29 323 324
  29 323 325
 326  29  30
 326  29  31
  29 326 327
  29 326 328
 329  29  30
 329  29  31
  29 329 330
  29 329 331
 338  29  30
 338  29  31
  29 338 339
  29 338 340
 341  29  30
 341  29  31
  29 341 342
  29 341 343
 350  29  30
 350  29  31
  29 350 351
  29 350 352
 353  29  30
 353  29  31
  29 353 354
  29 353 355
 356  29  30
 356  29  31
  29 356 357
  29 356 358
 359  29  30
 359  29  31
  29 359 360
  29 359 361
 365  29  30
 365  29  31
  29 365 366
  29 365 367
  38  32  33
  38  32  34
  32  38  39
  32  38  40
  41  32  33
  41  32  34
  32  41  42
  32  41  43
  44  32  33
  44  32  34
