   1.45000005     -0.522296667    	   1.45000005     -0.974339783    	   1.45000005      -1.58039153    
   1.46000016     -0.523950934    	   1.46000016     -0.972184539    	   1.46000016      -1.54064989    
   1.47000015     -0.525423706    	   1.47000015     -0.970228314    	   1.47000015      -1.57650673    
   1.48000014     -0.527206242    	   1.48000014     -0.967811108    	   1.48000014      -1.56493950    
   1.49000013     -0.529493868    	   1.49000013     -0.964612126    	   1.49000013      -1.56268752    
   1.50000012     -0.531292439    	   1.50000012     -0.962233305    	   1.50000012      -1.57763982    
   1.51000011     -0.533111989    	   1.51000011     -0.959819138    	   1.51000011      -1.51543069    
   1.52000010     -0.534881651    	   1.52000010     -0.957448125    	   1.52000010      -1.53888106    
   1.53000009     -0.536627889    	   1.53000009     -0.955154300    	   1.53000009      -1.50688493    
   1.54000008     -0.538314939    	   1.54000008     -0.952946842    	   1.54000008      -1.54771864    
   1.55000007     -0.540458977    	   1.55000007     -0.950065315    	   1.55000007      -1.60051215    
   1.56000006     -0.542491555    	   1.56000006     -0.947356641    	   1.56000006      -1.59911156    
   1.57000005     -0.544117033    	   1.57000005     -0.945314050    	   1.57000005      -1.55617511    
   1.58000016     -0.546040595    	   1.58000016     -0.942781389    	   1.58000016      -1.58451343    
   1.59000015     -0.547438681    	   1.59000015     -0.941063523    	   1.59000015      -1.65452445    
   1.60000014     -0.548937559    	   1.60000014     -0.939251602    	   1.60000014      -1.61369181    
   1.61000013     -0.550510526    	   1.61000013     -0.937278807    	   1.61000013      -1.60732365    
   1.62000012     -0.552843153    	   1.62000012     -0.934175670    	   1.62000012      -1.66794074    
   1.63000011     -0.554431438    	   1.63000011     -0.932140350    	   1.63000011      -1.63765907    
   1.64000010     -0.555253625    	   1.64000010     -0.931280732    	   1.64000010      -1.66269767    
   1.65000010     -0.557162523    	   1.65000010     -0.928736091    	   1.65000010      -1.66968870    
   1.66000009     -0.559492588    	   1.66000009     -0.925639391    	   1.66000009      -1.69300473    
   1.67000008     -0.560855091    	   1.67000008     -0.924039006    	   1.67000008      -1.71528590    
   1.68000007     -0.562647223    	   1.68000007     -0.921822309    	   1.68000007      -1.72742450    
   1.69000018     -0.564342380    	   1.69000018     -0.919781566    	   1.69000018      -1.72849524    
   1.70000017     -0.565592706    	   1.70000017     -0.918389380    	   1.70000017      -1.67295718    
   1.71000016     -0.566780627    	   1.71000016     -0.917066038    	   1.71000016      -1.66145539    
   1.72000015     -0.568006635    	   1.72000015     -0.915677488    	   1.72000015      -1.74670553    
   1.73000014     -0.570114434    	   1.73000014     -0.913057566    	   1.73000014      -1.68737710    
   1.74000013     -0.571629226    	   1.74000013     -0.911283076    	   1.74000013      -1.72901106    
   1.75000012     -0.573091149    	   1.75000012     -0.909579754    	   1.75000012      -1.72265279    
   1.76000011     -0.575384915    	   1.76000011     -0.906667411    	   1.76000011      -1.67194724    
   1.77000010     -0.576861560    	   1.77000010     -0.904956698    	   1.77000010      -1.68127728    
   1.78000009     -0.578645706    	   1.78000009     -0.902770758    	   1.78000009      -1.61867523    
   1.79000008     -0.580108702    	   1.79000008     -0.901075602    	   1.79000008      -1.68380439    
   1.80000007     -0.581787288    	   1.80000007     -0.899096429    	   1.80000007      -1.66892934    
