   1.84000015      0.555096149    	   1.84000015      0.410204709    	   1.84000015      0.189059407    
   1.85000014      0.554240227    	   1.85000014      0.410904497    	   1.85000014      0.186936393    
   1.86000013      0.553638518    	   1.86000013      0.411340147    	   1.86000013      0.186559260    
   1.87000012      0.552746236    	   1.87000012      0.412098616    	   1.87000012      0.182221130    
   1.88000011      0.551516831    	   1.88000011      0.413214326    	   1.88000011      0.187268019    
   1.89000010      0.550344467    	   1.89000010      0.414259762    	   1.89000010      0.178448170    
   1.90000010      0.549545586    	   1.90000010      0.414934218    	   1.90000010      0.184956446    
   1.91000009      0.548627377    	   1.91000009      0.415704161    	   1.91000009      0.192690417    
   1.92000008      0.547750711    	   1.92000008      0.416421860    	   1.92000008      0.187551409    
   1.93000019      0.546899974    	   1.93000019      0.417161763    	   1.93000019      0.180758655    
   1.94000018      0.546028495    	   1.94000018      0.417922884    	   1.94000018      0.172648638    
   1.95000017      0.544996142    	   1.95000017      0.418824792    	   1.95000017      0.170526713    
   1.96000016      0.543808222    	   1.96000016      0.419879019    	   1.96000016      0.169866189    
   1.97000015      0.543284297    	   1.97000015      0.420258045    	   1.97000015      0.160668641    
   1.98000014      0.542666972    	   1.98000014      0.420744628    	   1.98000014      0.162037924    
   1.99000013      0.541826606    	   1.99000013      0.421442777    	   1.99000013      0.162980214    
   2.00000024      0.540861726    	   2.00000024      0.422265649    	   2.00000024      0.162604704    
   2.01000023      0.540156245    	   2.01000023      0.422795922    	   2.01000023      0.163403958    
   2.02000022      0.539606392    	   2.02000022      0.423188150    	   2.02000022      0.150859892    
   2.03000021      0.538802326    	   2.03000021      0.423860252    	   2.03000021      0.160623133    
   2.04000020      0.537941217    	   2.04000020      0.424565464    	   2.04000020      0.165950701    
   2.05000019      0.537080050    	   2.05000019      0.425264508    	   2.05000019      0.165528044    
   2.06000018      0.536021829    	   2.06000018      0.426170647    	   2.06000018      0.159348667    
   2.07000017      0.535285234    	   2.07000017      0.426730365    	   2.07000017      0.161897048    
   2.08000016      0.534553766    	   2.08000016      0.427301407    	   2.08000016      0.171282068    
   2.09000015      0.533671916    	   2.09000015      0.428045273    	   2.09000015      0.173450589    
   2.10000014      0.532758892    	   2.10000014      0.428806186    	   2.10000014      0.161897048    
   2.11000013      0.531996369    	   2.11000013      0.429410428    	   2.11000013      0.166282311    
   2.12000012      0.531264901    	   2.12000012      0.429986686    	   2.12000012      0.156709805    
   2.13000011      0.530362308    	   2.13000011      0.430759519    	   2.13000011      0.169254959    
   2.14000010      0.529361129    	   2.14000010      0.431662440    	   2.14000010      0.162697911    
   2.15000010      0.528857946    	   2.15000010      0.432056427    	   2.15000010      0.167228401    
   2.16000009      0.527955294    	   2.16000009      0.432824165    	   2.16000009      0.166377142    
   2.17000008      0.527234256    	   2.17000008      0.433402896    	   2.17000008      0.166992158    
   2.18000007      0.526150048    	   2.18000007      0.434383482    	   2.18000007      0.164350048    
   2.19000006      0.525543153    	   2.19000006      0.434837759    	   2.19000006      0.163170949    
   2.20000005      0.524536729    	   2.20000005      0.435688227    	   2.20000005      0.152512565    
   2.21000004      0.523613393    	   2.21000004      0.436463207    	   2.21000004      0.154164150    
   2.22000027      0.522824883    	   2.22000027      0.437146157    	   2.22000027      0.144542336    
   2.23000026      0.522181630    	   2.23000026      0.437662393    	   2.23000026      0.152512014    
   2.24000025      0.521351635    	   2.24000025      0.438382953    	   2.24000025      0.143080398    
   2.25000024      0.520765483    	   2.25000024      0.438822806    	   2.25000024      0.156615525    
   2.26000023      0.520340085    	   2.26000023      0.439115465    	   2.26000023      0.142230764    
   2.27000022      0.519816160    	   2.27000022      0.439522475    	   2.27000022      0.141854167    
   2.28000021      0.518929124    	   2.28000021      0.440299392    	   2.28000021      0.139495984    
   2.29000020      0.518135428    	   2.29000020      0.440952063    	   2.29000020      0.141429350    
   2.30000019      0.517129064    	   2.30000019      0.441821933    	   2.30000019      0.141335607    
   2.31000018      0.516516924    	   2.31000018      0.442278802    	   2.31000018      0.153173089    
   2.32000017      0.515738785    	   2.32000017      0.442910582    	   2.32000017      0.153029501    
   2.33000016      0.515085161    	   2.33000016      0.443449527    	   2.33000016      0.152889699    
   2.34000015      0.514415979    	   2.34000015      0.443982482    	   2.34000015      0.146146238    
   2.35000014      0.513580799    	   2.35000014      0.444691181    	   2.35000014      0.140345082    
   2.36000013      0.512558877    	   2.36000013      0.445595622    	   2.36000013      0.134638205    
   2.37000012      0.511993468    	   2.37000012      0.446032345    	   2.37000012      0.150153846    
   2.38000011      0.511427999    	   2.38000011      0.446490943    	   2.38000011      0.150859892    
   2.39000010      0.510774374    	   2.39000010      0.447041929    	   2.39000010      0.148926526    
   2.40000010      0.510271192    	   2.40000010      0.447435766    	   2.40000010      0.142796457    
   2.41000009      0.509570897    	   2.41000009      0.448031098    	   2.41000009      0.143456995    
   2.42000008      0.508491874    	   2.42000008      0.449014246    	   2.42000008      0.132468060    
   2.43000007      0.507532239    	   2.43000007      0.449893504    	   2.43000007      0.134733036    
   2.44000006      0.506888986    	   2.44000006      0.450479060    	   2.44000006      0.134968206    
   2.45000029      0.506448030    	   2.45000029      0.450841188    	   2.45000029      0.134779096    
