  0.920000076      0.203946680    	  0.920000076      0.743057907    
  0.930000067      0.204618797    	  0.930000067      0.741881192    
  0.940000057      0.205153048    	  0.940000057      0.740869462    
  0.950000048      0.205711067    	  0.950000048      0.739692748    
  0.960000038      0.206246465    	  0.960000038      0.738647997    
  0.970000088      0.205984980    	  0.970000088      0.738592982    
  0.980000079      0.206070185    	  0.980000079      0.737977147    
  0.990000069      0.206583619    	  0.990000069      0.737064362    
   1.00000012      0.207213208    	   1.00000012      0.735953629    
   1.01000011      0.207275927    	   1.01000011      0.735315800    
   1.02000010      0.207756057    	   1.02000010      0.734468997    
   1.03000009      0.208039582    	   1.03000009      0.733721197    
   1.04000008      0.208346441    	   1.04000008      0.732830405    
   1.05000007      0.208850950    	   1.05000007      0.731939614    
   1.06000006      0.209600031    	   1.06000006      0.730729878    
   1.07000005      0.210198775    	   1.07000005      0.729795098    
   1.08000004      0.210728303    	   1.08000004      0.728926301    
   1.09000003      0.210909560    	   1.09000003      0.728431463    
   1.10000002      0.211509988    	   1.10000002      0.727430701    
   1.11000013      0.212075993    	   1.11000013      0.726484895    
   1.12000012      0.212817371    	   1.12000012      0.725187242    
   1.13000011      0.212289006    	   1.13000011      0.725110233    
   1.14000010      0.212424964    	   1.14000010      0.724494398    
   1.15000010      0.213156104    	   1.15000010      0.723405659    
   1.16000009      0.213455990    	   1.16000009      0.722712815    
   1.17000008      0.213627800    	   1.17000008      0.722074986    
   1.18000007      0.214080155    	   1.18000007      0.721272171    
   1.19000006      0.214123800    	   1.19000006      0.720722318    
   1.20000005      0.214881256    	   1.20000005      0.719688535    
   1.21000004      0.215042353    	   1.21000004      0.719083726    
   1.22000003      0.215918154    	   1.22000003      0.717885017    
   1.23000014      0.216373011    	   1.23000014      0.717071176    
   1.24000013      0.216535315    	   1.24000013      0.716521323    
   1.25000012      0.216286987    	   1.25000012      0.716323376    
   1.26000011      0.217106640    	   1.26000011      0.715234637    
   1.27000010      0.216940820    	   1.27000010      0.714816749    
   1.28000009      0.216786459    	   1.28000009      0.714332819    
   1.29000008      0.217501774    	   1.29000008      0.713233113    
   1.30000007      0.218629688    	   1.30000007      0.711814463    
   1.31000006      0.218770102    	   1.31000006      0.711242616    
   1.32000005      0.218604714    	   1.32000005      0.710901678    
   1.33000004      0.218721822    	   1.33000004      0.710406780    
   1.34000015      0.219121933    	   1.34000015      0.709636986    
   1.35000014      0.219864428    	   1.35000014      0.708449244    
   1.36000013      0.219888031    	   1.36000013      0.707921386    
   1.37000012      0.220230356    	   1.37000012      0.707019627    
